kýrmýzý red
balýk fish
elma apple
silgi eraser
koþmak run
kütüphane library
belge document
telefon phone
bilgisayar computer
bitki plant
papaðan parrot
ezmek crush
sincap squirrel 
yüzük ring
gözlük glasses
tepsi tray
çember circle
dikdörtgen rectangular
doktor doctor
karpuz watermelon
kitap book
þiþe bottle
ýþýk light
süt milk
çorap socks
sözlük dictionary
ödül award
þapka cap
saat watch
sigara cigarette
havlu towel
çanta bag
traþ shave
çöp garbage
tanrý god
iyi good
kötü bad
kapüþon hoodie
kaplumbaða turtle
kurbaða frog
ayak foot
el hand
týrnak nail
orta middle
halý carpet
sandalye chair
dolap cabin
bardak glass
gözlük glasses
yatak bed
yastýk pillow
makine machine
yumruk fist
hayalet ghost
pencere window
sözcük word
baba father
sekiz eight
üç three
dört four
kar snow
dokuz nine
oyun game
deli crazy
bal honey
ataç paperclip
kule tower
dede grandfather
anne mom
teyze aunt
düðün wedding
nefret hate
aþk love
yüz face
olmak be
arý bee
yol road
hafýza memory
isim name
ev home
kraliçe queen
kral king
uyanmak wake
yemek cook
bardak cup
top ball
fare mouse
tuþ key
anahtar key
koca husband
havuç carrot
film movie
ayna mirror
elma apple
yaprak leaf
þeker sugar
defter notebook
parmak finger
papaðan parrot
araba car
mum candle
yeni new
eski old
genç young
tür type
ekipman equipment
son end
oyuncu player
puan point
destek support
kullanmak use
zaman time
silmek remove
koþmak run
aile family



